date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:02	5159/5159	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:46:00%20GMT	http://tse1.mm.bing.net/th?id=OIP.Tp7QNAsszTpzklvxDgrb8AEsEs&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse1.mm.bing.net/th0502.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:13	224173/224173	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Dec%202013%2009:11:32%20GMT	http://www.atmag.net/wp-content/uploads/2013/12/openrice.png	/Users/vikranth/Documents/healthy_nails_news/www.atmag.net/wp-content/uploads/2013/12/openrice.png	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:13	100499/100499	---M--	200	added ('OK')	image/jpeg	etag:%22182c908-18893-51cf8ca3cc280%22	https://www.gnc.com/graphics/product_images/pGNC1-6391896dt.jpg	/Users/vikranth/Documents/healthy_nails_news/www.gnc.com/graphics/product_images/pGNC1-6391896dt.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:14	9450/9450	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:46:13%20GMT	http://tse4.mm.bing.net/th?id=OIP.wcKSu_0XdG18DA4r-oObqAEsDI&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse4.mm.bing.net/thc995.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:16	6764/6764	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:46:14%20GMT	http://tse1.mm.bing.net/th?id=OIP.xmgCJSL_C1tQtpvzicAymAEsCQ&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse1.mm.bing.net/th0f0e.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:36	204514/204514	---M--	200	added ('OK')	image/jpeg	etag:%22c1c292bbfd17746d7c0c0e2bfa839ba8%22	http://ghk.h-cdn.co/assets/cm/15/11/54ff959a02000-1-de2.jpg	/Users/vikranth/Documents/healthy_nails_news/ghk.h-cdn.co/assets/cm/15/11/54ff959a02000-1-de2.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:37	132740/132740	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jul%202015%2008:45:29%20GMT	http://www.stylepresso.com/wp-content/uploads/2015/07/Best-Chanel-Nail-Polishes.jpg	/Users/vikranth/Documents/healthy_nails_news/www.stylepresso.com/wp-content/uploads/2015/07/Best-Chanel-Nail-Polishes.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:37	7629/7629	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:46:35%20GMT	http://tse2.mm.bing.net/th?id=OIP.bw2VirttWsVM_84JP0w9kgEsC4&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse2.mm.bing.net/theb73.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:39	6907/6907	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:46:37%20GMT	http://tse3.mm.bing.net/th?id=OIP.M2041a7511912abc6f2b52da55e8701fao2&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse3.mm.bing.net/th2bc3.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:46	484699/484699	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Sep%202014%2020:51:35%20GMT	http://www.mireyabeltransalon.com/wp-content/uploads/2014/08/mani-pedi-mbs1.jpg	/Users/vikranth/Documents/healthy_nails_news/www.mireyabeltransalon.com/wp-content/uploads/2014/08/mani-pedi-mbs1.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:47	59218/59218	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Nov%202015%2016:30:05%20GMT	http://www.latina.com/sites/default/files/articles/2015-11-13/prince-royce.jpg	/Users/vikranth/Documents/healthy_nails_news/www.latina.com/sites/default/files/articles/2015-11-13/prince-royce.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:48	9028/9028	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:46:46%20GMT	http://tse1.mm.bing.net/th?id=OIP._2b6LVGySnFVyoc8dMZWHAEsCW&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse1.mm.bing.net/th29b5.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:49	5922/5922	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:46:47%20GMT	http://tse4.mm.bing.net/th?id=OIP.QhDNmun1T-niVmfd58rxMgEsDY&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse4.mm.bing.net/thd9fc.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:50	355/355	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Mar%202017%2023:46:50%20GMT	http://elin.damernasvarld.se/files/2015/11/bronde1.jpg	/Users/vikranth/Documents/healthy_nails_news/elin.damernasvarld.se/files/2015/11/bronde1.31.delayed	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:57	62033/62033	---M--	200	added ('OK')	image/jpeg	etag:%225465036a-f251%22	http://thebeautybean.com/wp-content/uploads/610x-1.jpg	/Users/vikranth/Documents/healthy_nails_news/thebeautybean.com/wp-content/uploads/610x-1.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:59	8282/8282	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Mar%202017%2023:46:56%20GMT	http://tse3.mm.bing.net/th?id=OIP.eotlE0VQ3QnlPaAtowzpwQEsDr&w=230&h=170&rs=1&pcl=dddddd&pid=1.1	/Users/vikranth/Documents/healthy_nails_news/tse3.mm.bing.net/th97b0.jpg	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:59	109/109	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Mar%202017%2004:12:04%20GMT	http://www.bing.com/rms/rms%20answers%20Shared%20Feedback$bubble/ic/4907366b/da274d75.png	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/rms/rms%20answers%20Shared%20Feedback$bubble/ic/4907366b/da274d75.png	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:46:59	79069/79069	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202017%2023:46:58%20GMT	http://www.bing.com/images/get	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/get.35.delayed	(from http://www.bing.com/images/search?q=healthy+nails&first=1&cw=1023&ch=865)
15:47:01	6219/6219	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Mar%202017%2014:05:57%20GMT	http://www.bing.com/sa/simg/sw_mg_l_4d_bo.png	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/sa/simg/sw_mg_l_4d_bo.png	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
15:47:01	104155/104155	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2023:47:00%20GMT	http://www.bing.com/images/search?q=Causes+of+Nail+Ridges&FORM=RESTAB	/Users/vikranth/Documents/healthy_nails_news/www.bing.com/images/search8a4c.html	(from http://www.bing.com/images/search?q=Deficiency+That+Causes+Nail+Ridges&FORM=RESTAB)
